      ix    iy    iz             flux             total        absorption        scattering           fission       fission src
      1     1     1    2.76022179E+00    2.76022179E+00    8.28066537E-01    1.93215525E+00    1.07648650E+00    1.07648650E+00
      2     1     1    2.81763738E+00    2.81763738E+00    8.45291214E-01    1.97234617E+00    1.09887858E+00    1.09887858E+00
      3     1     1    3.65706732E+00    3.65706732E+00    1.09712020E+00    2.55994712E+00    1.42625625E+00    1.42625625E+00
      4     1     1    3.22370540E+00    3.22370540E+00    9.67111620E-01    2.25659378E+00    1.25724511E+00    1.25724511E+00
      1     2     1    3.73087484E+00    3.73087484E+00    1.11926245E+00    2.61161239E+00    1.45504119E+00    1.45504119E+00
      2     2     1    3.81950900E+00    3.81950900E+00    1.14585270E+00    2.67365630E+00    1.48960851E+00    1.48960851E+00
      3     2     1    3.71653568E+00    3.71653568E+00    1.11496070E+00    2.60157498E+00    1.44944891E+00    1.44944891E+00
      4     2     1    3.07641775E+00    3.07641775E+00    9.22925326E-01    2.15349243E+00    1.19980292E+00    1.19980292E+00
      1     3     1    3.08427638E+00    3.08427638E+00    9.25282913E-01    2.15899346E+00    1.20286779E+00    1.20286779E+00
      2     3     1    3.41433208E+00    3.41433208E+00    1.02429962E+00    2.39003246E+00    1.33158951E+00    1.33158951E+00
      3     3     1    3.52638113E+00    3.52638113E+00    1.05791434E+00    2.46846679E+00    1.37528864E+00    1.37528864E+00
      4     3     1    3.67169664E+00    3.67169664E+00    1.10150899E+00    2.57018765E+00    1.43196169E+00    1.43196169E+00
      1     4     1    2.63730402E+00    2.63730402E+00    7.91191207E-01    1.84611282E+00    1.02854857E+00    1.02854857E+00
      2     4     1    2.88265912E+00    2.88265912E+00    8.64797736E-01    2.01786138E+00    1.12423706E+00    1.12423706E+00
      3     4     1    3.39272443E+00    3.39272443E+00    1.01781733E+00    2.37490710E+00    1.32316253E+00    1.32316253E+00
      4     4     1    2.93534195E+00    2.93534195E+00    8.80602585E-01    2.05473936E+00    1.14478336E+00    1.14478336E+00
      1     1     2    2.78875112E+00    2.78875112E+00    8.36625336E-01    1.95212578E+00    1.08761294E+00    1.08761294E+00
      2     1     2    3.54559807E+00    3.54559807E+00    1.06367942E+00    2.48191865E+00    1.38278325E+00    1.38278325E+00
      3     1     2    3.22570227E+00    3.22570227E+00    9.67710682E-01    2.25799159E+00    1.25802389E+00    1.25802389E+00
      4     1     2    2.85661367E+00    2.85661367E+00    8.56984100E-01    1.99962957E+00    1.11407933E+00    1.11407933E+00
      1     2     2    3.19936240E+00    3.19936240E+00    9.59808720E-01    2.23955368E+00    1.24775134E+00    1.24775134E+00
      2     2     2    3.71846513E+00    3.71846513E+00    1.11553954E+00    2.60292559E+00    1.45020140E+00    1.45020140E+00
      3     2     2    3.48639709E+00    3.48639709E+00    1.04591913E+00    2.44047796E+00    1.35969486E+00    1.35969486E+00
      4     2     2    3.33574434E+00    3.33574434E+00    1.00072330E+00    2.33502104E+00    1.30094029E+00    1.30094029E+00
      1     3     2    3.48316528E+00    3.48316528E+00    1.04494958E+00    2.43821570E+00    1.35843446E+00    1.35843446E+00
      2     3     2    3.20312987E+00    3.20312987E+00    9.60938961E-01    2.24219091E+00    1.24922065E+00    1.24922065E+00
      3     3     2    3.29521601E+00    3.29521601E+00    9.88564804E-01    2.30665121E+00    1.28513425E+00    1.28513425E+00
      4     3     2    3.13639987E+00    3.13639987E+00    9.40919960E-01    2.19547991E+00    1.22319595E+00    1.22319595E+00
      1     4     2    2.78021236E+00    2.78021236E+00    8.34063709E-01    1.94614865E+00    1.08428282E+00    1.08428282E+00
      2     4     2    3.50733889E+00    3.50733889E+00    1.05220167E+00    2.45513723E+00    1.36786217E+00    1.36786217E+00
      3     4     2    3.40970661E+00    3.40970661E+00    1.02291198E+00    2.38679463E+00    1.32978558E+00    1.32978558E+00
      4     4     2    3.04896934E+00    3.04896934E+00    9.14690802E-01    2.13427854E+00    1.18909804E+00    1.18909804E+00
